source_text,summary,summary_type,check_result,fail_reason,risk_type,evidence,sensitive_hits,hard_rule_result,llm_review_result
新能源行业报告认为，储能需求改善，产业链订单有望修复，但原材料价格仍有波动风险。,新能源产业链订单修复线索值得细读。,ai_lead_read,PASS,,,{},[],"{""check_result"":""PASS"",""findings"":[]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 未发现额外语义风险。""}}"
新能源行业报告认为，储能需求改善，产业链订单有望修复，但原材料价格仍有波动风险。,新能源机会来了，值得布局。,ai_lead_read,FAIL,【敏感词命中】命中“机会来了”：行动导向表达，可能诱导交易,交易诱导,"{""source"":""sensitive_scanner"",""term"":""机会来了"",""hit"":{""term"":""机会来了"",""match_type"":""contains"",""severity"":""high"",""category"":""交易诱导"",""action"":""FAIL"",""scope"":""all"",""reason"":""行动导向表达，可能诱导交易""}}","[{""term"":""值得布局"",""match_type"":""contains"",""severity"":""high"",""category"":""交易诱导"",""action"":""FAIL"",""scope"":""all"",""reason"":""将阅读价值包装成交易行动""},{""term"":""机会来了"",""match_type"":""contains"",""severity"":""high"",""category"":""交易诱导"",""action"":""FAIL"",""scope"":""all"",""reason"":""行动导向表达，可能诱导交易""}]","{""check_result"":""PASS"",""findings"":[]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 将明确硬规则/敏感词问题交由合并器处理。""}}"
半导体行业报告指出，先进封装需求提升，国产设备验证加快，库存压力仍需观察。,"先进封装提速
设备验证加快
库存仍需观察",key_points,PASS,,,{},[],"{""check_result"":""PASS"",""findings"":[]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 未发现额外语义风险。""}}"
半导体行业报告指出，先进封装需求提升，国产设备验证加快，库存压力仍需观察。,"行业前景广阔
未来可期",key_points,FAIL,【条目数量不符合】核心看点条目数量应在 3 到 6 条之间。,结构不符合,"{""source"":""hard_rules"",""rule_id"":""key_points.item_count"",""evidence"":""行业前景广阔\n未来可期""}",[],"{""check_result"":""FAIL"",""findings"":[{""rule_id"":""key_points.item_count"",""severity"":""high"",""result"":""FAIL"",""message"":""【条目数量不符合】核心看点条目数量应在 3 到 6 条之间。"",""evidence"":""行业前景广阔\n未来可期"",""risk_type"":""结构不符合""},{""rule_id"":""key_points.empty_terms"",""severity"":""high"",""result"":""FAIL"",""message"":""【空话表达】核心看点出现空泛表达。"",""evidence"":""行业前景广阔\n未来可期"",""risk_type"":""主观质量待复核""}]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 将明确硬规则/敏感词问题交由合并器处理。""}}"
银行行业报告指出，息差压力边际缓和，信贷投放节奏改善，但资产质量仍需跟踪。,银行息差缓和带动盈利修复。,one_sentence,PASS,,,{},[],"{""check_result"":""PASS"",""findings"":[]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 未发现额外语义风险。""}}"
银行行业报告指出，息差压力边际缓和，信贷投放节奏改善，但资产质量仍需跟踪。,需求改善带动利润修复。,one_sentence,FAIL,【缺少研究对象】summary 未明确包含公司、行业或实体。,结构不符合,"{""source"":""hard_rules"",""rule_id"":""one_sentence.object"",""evidence"":""需求改善带动利润修复。""}",[],"{""check_result"":""FAIL"",""findings"":[{""rule_id"":""one_sentence.object"",""severity"":""high"",""result"":""FAIL"",""message"":""【缺少研究对象】summary 未明确包含公司、行业或实体。"",""evidence"":""需求改善带动利润修复。"",""risk_type"":""结构不符合""}]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 将明确硬规则/敏感词问题交由合并器处理。""}}"
医药行业报告指出，创新药审批节奏改善，院内需求恢复，海外授权增加，但研发失败风险仍在。,"研究对象：医药行业
核心结论：创新药景气度有望改善。
三大支撑：
1. 审批节奏改善
2. 院内需求恢复
3. 海外授权增加
潜在风险：
1. 研发失败风险",ai_quick_read_60s,PASS,,,{},[],"{""check_result"":""PASS"",""findings"":[]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 未发现额外语义风险。""}}"
医药行业报告指出，创新药审批节奏改善，院内需求恢复，海外授权增加，但研发失败风险仍在。,"研究对象：医药行业
核心结论：创新药景气度有望改善。
三大支撑：
1. 审批节奏改善
2. 院内需求恢复
3. 海外授权增加",ai_quick_read_60s,FAIL,【结构不符合】缺少“潜在风险”段落。,结构不符合,"{""source"":""hard_rules"",""rule_id"":""ai_quick_read_60s.missing_潜在风险"",""evidence"":""研究对象：医药行业\n核心结论：创新药景气度有望改善。\n三大支撑：\n1. 审批节奏改善\n2. 院内需求恢复\n3. 海外授权增加""}",[],"{""check_result"":""FAIL"",""findings"":[{""rule_id"":""ai_quick_read_60s.missing_潜在风险"",""severity"":""high"",""result"":""FAIL"",""message"":""【结构不符合】缺少“潜在风险”段落。"",""evidence"":""研究对象：医药行业\n核心结论：创新药景气度有望改善。\n三大支撑：\n1. 审批节奏改善\n2. 院内需求恢复\n3. 海外授权增加"",""risk_type"":""结构不符合""}]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 将明确硬规则/敏感词问题交由合并器处理。""}}"
汽车行业报告显示，智能驾驶渗透率达到 35%，供应链成本下降 8%，维持买入评级，但价格竞争仍然激烈。,"# 汽车行业
- 智能驾驶渗透率达到 35%
- 供应链成本下降 8%
- 维持买入评级
- 风险：价格竞争仍然激烈",structured_layout,REVIEW,【敏感词命中】命中“买入”：高危投资建议词；该词来自原文，结构化保留需人工复核。,投资建议,"{""source"":""sensitive_scanner"",""term"":""买入"",""hit"":{""term"":""买入"",""match_type"":""contains"",""severity"":""high"",""category"":""投资建议"",""action"":""REVIEW"",""scope"":""all"",""reason"":""高危投资建议词；该词来自原文，结构化保留需人工复核。""}}","[{""term"":""买入"",""match_type"":""contains"",""severity"":""high"",""category"":""投资建议"",""action"":""REVIEW"",""scope"":""all"",""reason"":""高危投资建议词；该词来自原文，结构化保留需人工复核。""}]","{""check_result"":""PASS"",""findings"":[]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 未发现额外语义风险。""}}"
汽车行业报告显示，智能驾驶渗透率达到 35%，供应链成本下降 8%，但价格竞争仍然激烈。,"# 汽车行业
- 智能驾驶渗透率达到 40%
- 供应链成本下降 8%
- 新增海外订单明显改善",structured_layout,FAIL,【数字不一致】结构化排版的数字集合应与原文一致，不得新增、删除或修改数字。,不可溯源,"{""source"":""hard_rules"",""rule_id"":""structured_layout.number_set"",""evidence"":""source=['35%', '8%']; summary=['40%', '8%']""}",[],"{""check_result"":""FAIL"",""findings"":[{""rule_id"":""structured_layout.number_set"",""severity"":""high"",""result"":""FAIL"",""message"":""【数字不一致】结构化排版的数字集合应与原文一致，不得新增、删除或修改数字。"",""evidence"":""source=['35%', '8%']; summary=['40%', '8%']"",""risk_type"":""不可溯源""}]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 将明确硬规则/敏感词问题交由合并器处理。""}}"
原文从产业周期、供需边际和成本压力等角度分析了消费行业，强调报告的逻辑链条完整，但对短期波动保持谨慎。,这篇研报像节奏克制的行业观察片，从需求变化写到成本压力，又把短期波动放回产业框架中审视。它的价值不在情绪渲染，而在克制的推理秩序：观点推进清楚，风险留白也被保留，读者能看到结论背后的分析路径。全文没有急着给答案，而是把判断藏在材料组织和逻辑转折里，读起来更像冷静的文本评论。,review_style_summary,PASS,,,{},[],"{""check_result"":""PASS"",""findings"":[]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 未发现额外语义风险。""}}"
原文从产业周期、供需边际和成本压力三个角度分析了消费行业，强调报告的逻辑链条完整，但对短期波动保持谨慎。,这篇研报用 3 个角度说明消费行业值得买入，逻辑完整且目标价清晰。,review_style_summary,FAIL,【敏感词命中】命中“目标价”：高危评级相关词,评级词,"{""source"":""sensitive_scanner"",""term"":""目标价"",""hit"":{""term"":""目标价"",""match_type"":""contains"",""severity"":""high"",""category"":""评级词"",""action"":""FAIL"",""scope"":""all"",""reason"":""高危评级相关词""}}","[{""term"":""买入"",""match_type"":""contains"",""severity"":""high"",""category"":""投资建议"",""action"":""FAIL"",""scope"":""all"",""reason"":""高危投资建议词""},{""term"":""目标价"",""match_type"":""contains"",""severity"":""high"",""category"":""评级词"",""action"":""FAIL"",""scope"":""all"",""reason"":""高危评级相关词""}]","{""check_result"":""FAIL"",""findings"":[{""rule_id"":""review_style_summary.length"",""severity"":""high"",""result"":""FAIL"",""message"":""【字数不符合】影评式总结字数必须在 120 到 150 之间。"",""evidence"":""这篇研报用 3 个角度说明消费行业值得买入，逻辑完整且目标价清晰。"",""risk_type"":""字数不符合""},{""rule_id"":""review_style_summary.no_numbers"",""severity"":""high"",""result"":""FAIL"",""message"":""【禁数字】影评式总结禁止出现数值、比例、年份、金额、倍数等数字表达。"",""evidence"":""3"",""risk_type"":""结构不符合""},{""rule_id"":""review_style_summary.rating_terms"",""severity"":""high"",""result"":""FAIL"",""message"":""【评级词命中】影评式总结禁止出现评级词。"",""evidence"":""这篇研报用 3 个角度说明消费行业值得买入，逻辑完整且目标价清晰。"",""risk_type"":""敏感词命中""}]}","{""check_result"":""PASS"",""risk_type"":"""",""fail_reason"":"""",""evidence"":{""summary_quote"":"""",""source_quote"":"""",""explanation"":""mock provider 将明确硬规则/敏感词问题交由合并器处理。""}}"
